content,score,at,appVersion
such a nice and helpfull app,4,2025-09-21 00:18:15,19.1.4
good,5,2025-09-20 23:38:22,19.1.4
"1. A delivery boy not delivering the order asking to cancel giving fake reasons. 2. Zomato assuring action and providing refund. 3. No refund from more than 7 days 4. For Support a dumb chatbot with repeating texts and limited options not understanding issue and giving no option to contact customer care 5. Blatant lies from zomato email support team about refund being initiated and received in bank. When the order was placed from mobikwik wallet. Uninstall Scamato, never use again",1,2025-09-20 23:10:15,19.1.4
zomato really need to improve its customer support as AI generated response is just so pathetic and it's never really helpful. cost cutting at every segment while increasing plateform fee subsequently and a surge in increasing customer dissatisfaction will ruin the party one day.,1,2025-09-20 23:02:25,
very good,5,2025-09-20 22:59:55,19.1.4
Mind blowing performance system,5,2025-09-20 22:33:42,19.1.4
excellent,5,2025-09-20 22:19:59,19.1.4
better then Swiggy,5,2025-09-20 22:17:18,19.1.4
good 👍,5,2025-09-20 22:14:32,19.1.4
great app,5,2025-09-20 22:09:30,19.1.4
take so long time to deliver food,1,2025-09-20 21:54:46,19.1.4
"I ordered biryani and all I got was stale, warm rice. कोई भी ऑर्डर मत करना बेकार ॲप है",1,2025-09-20 21:53:02,19.1.4
Fantastic service,5,2025-09-20 21:48:11,19.1.4
good,4,2025-09-20 21:45:13,
500 rupee ka chiz 50 mei dena chahiye with 50% discount full star de raha hun ye feedback aapke owner tak pochao aur koi puche toh mera naam hi kafi hai abhi waffle mangya hun disscount k sath chaiye agar bina disscount k aya toh waffle on the spot cancel aur Zomato uninstall,1,2025-09-20 21:38:58,19.1.4
i really like zomato. cauz they provide so many offers ang coupens🤍,5,2025-09-20 21:36:24,
good,5,2025-09-20 21:36:07,19.1.6
thank you zomato,5,2025-09-20 21:35:17,19.1.6
very easy and fast,5,2025-09-20 21:28:05,19.1.4
nice,5,2025-09-20 21:27:04,19.1.4
exllent 💸,5,2025-09-20 21:23:19,
fast delivery of the day,5,2025-09-20 21:20:05,19.1.4
waste of time app do not download this app 😡😡,1,2025-09-20 21:19:54,19.1.4
"🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬​I was charged a cancellation fee twice for orders I never received. The fees are too high, and I've decided not to waste my money anymore.🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬and very very bad customer support",1,2025-09-20 21:16:46,19.1.4
superr for food delivery best option,5,2025-09-20 21:15:04,
good service thanks zomato,4,2025-09-20 21:10:40,19.1.6
worst app,1,2025-09-20 21:08:51,
nice offers and far service,5,2025-09-20 21:05:05,19.1.4
I love ❤️ 😍,5,2025-09-20 21:02:06,19.1.6
fast and good service,5,2025-09-20 20:57:42,19.1.4
it's very awesome 😎,5,2025-09-20 20:56:22,
Rohit,5,2025-09-20 20:53:27,19.1.4
good,4,2025-09-20 20:41:20,
easy to use,5,2025-09-20 20:41:00,19.1.4
good,5,2025-09-20 20:37:18,19.1.4
was charged cancellation fee after them being late for an hour. no way to connect to an associate,1,2025-09-20 20:33:48,19.1.2
good,5,2025-09-20 20:33:04,19.1.6
order delivery partner galti se let huva almost duble time laga fir bhi deliver nahi kar paya tum long customer service associate jo sahil nam baat karta 2 minutes refund hojyga but huva nahi yaha zhut bolata hai our oper se mene order cancel karne riqwest kiya yesa dikhate hai galti unki hai man nahi lete customer care service associate no available nhi itna gya gujar aap hai,1,2025-09-20 20:31:26,19.1.6
good 👍,5,2025-09-20 20:27:37,19.1.4
osm,5,2025-09-20 20:26:31,19.1.4
worst delivery experience.. the timer doesn't do any countdown. instead gives a continuous loop of 3mins till the delivery reaches destination. the food becomes cold and soggy which doesn't matter anymore. even if you complain there's no positive feedback. they delay and cut the chat or call.,1,2025-09-20 20:25:13,19.1.4
awesome 👍,5,2025-09-20 20:18:28,
super boss,5,2025-09-20 20:17:13,19.1.4
very bad experience,3,2025-09-20 20:15:35,19.1.4
very good 👍,5,2025-09-20 20:14:41,19.1.3
giving less order pay to delivery partner they are struggling to make 1000 rupees some how they manage to make 1000 rupees they burn petrol of 400 rupees all profit goes to zomato,1,2025-09-20 20:13:55,
all just Good But There Are Charges Of Extra You Have To Pay Other than Foood that Is Not acceptable .,4,2025-09-20 20:11:28,19.1.4
"Zomato has truly made food ordering so convenient and reliable. The app is easy to use, with clear menus, quick tracking, and smooth payment options. I especially love the great offers and discounts which make dining more affordable without compromising on quality. Highly recommended for anyone who enjoys hassle-free food delivery!💎",5,2025-09-20 20:08:33,18.1.8
worst company ...unable to resolve issues ....no authenticity...no responsibility of what customer is receiving quality,1,2025-09-20 20:02:07,19.1.6
khana thoda mehenga h bass 🤣,5,2025-09-20 19:59:49,19.1.4
Idiotic delivery agents and they are AUTOMATICALLY rated 5 stars by the app. Loisy customer care. I've switched to another app.,4,2025-09-20 19:59:49,18.6.3
big help for Night hungers💯,5,2025-09-20 19:57:03,19.1.4
The food is very good and very tasty but the time is too much please come fast as you can,4,2025-09-20 19:55:54,19.1.6
best,5,2025-09-20 19:55:53,
tasty food and fast delivery Good behaviour 😊😋,5,2025-09-20 19:55:18,19.1.4
It's really good. the rating for you part is annoying.,4,2025-09-20 19:53:04,19.1.4
nice,4,2025-09-20 19:49:15,19.1.4
"biggest scammer,no chat support no call support 2nd timw order not received but mark as a delivered. i will sue definately",1,2025-09-20 19:48:11,
worst food delivery app in India,1,2025-09-20 19:46:10,19.1.6
very nice app and i request you please off on any shop I want any food .,5,2025-09-20 19:41:07,19.1.4
nice,5,2025-09-20 19:36:58,19.0.7
Dipendra Goyal sucks,1,2025-09-20 19:33:29,19.1.4
very good app for ordering the food,5,2025-09-20 19:27:30,
good,5,2025-09-20 19:27:01,19.1.4
Good 👍🏻,5,2025-09-20 19:24:51,
good food and delivery,5,2025-09-20 19:24:36,
order placed.. waiting for delivery,5,2025-09-20 19:22:02,
Noice,5,2025-09-20 19:16:59,19.1.4
nice app,5,2025-09-20 19:16:33,19.1.4
excellent offers n delivery,5,2025-09-20 19:16:01,19.1.4
great,5,2025-09-20 19:15:38,19.1.4
👍,5,2025-09-20 19:13:33,19.1.4
i recently ordered chicken butter masala they send me butter paneer. what a pathetic experience,1,2025-09-20 19:12:42,19.1.4
I love zomato and zomato team you always helped whoever I need whether it's in night or I stuck somewhere you always filled my stomach with food or 💕💕.,5,2025-09-20 19:12:24,
good,4,2025-09-20 19:11:27,19.1.4
"there's no customer care support,",1,2025-09-20 19:11:24,19.1.4
"everything is perfect but it should be available to cancel the order after some time after ordering it just never cancels and you have to accept the order anyway, also the ai customer help is not very helpful but we can also address all our issues and get benefits like return or discount coupon.",4,2025-09-20 19:07:09,19.1.6
good,5,2025-09-20 19:06:07,19.1.4
good service,5,2025-09-20 18:58:27,19.1.4
good experience overall,5,2025-09-20 18:55:31,
good 👍,5,2025-09-20 18:53:32,19.1.4
thanks for serving food at a time,4,2025-09-20 18:52:28,19.1.4
good,5,2025-09-20 18:52:23,
very nice 🙂,5,2025-09-20 18:47:59,19.1.4
worst customer support!!!,1,2025-09-20 18:46:25,17.1.4
nice,5,2025-09-20 18:46:10,19.1.6
Running the app in the background continuously and ping their server for tracking,1,2025-09-20 18:42:35,19.1.6
no one help on wrong order,1,2025-09-20 18:42:35,19.1.4
nice,5,2025-09-20 18:42:31,
👍,5,2025-09-20 18:41:55,19.1.4
good fast delivery 👌,3,2025-09-20 18:41:32,19.1.4
thank you for your good offer,4,2025-09-20 18:38:46,19.1.2
Yes Thank You Zomato. This is the Beginning. BHARAT IS A DEVELOPED COUNTRY 🙏,5,2025-09-20 18:37:56,19.1.4
nice,5,2025-09-20 18:35:46,
this app thankfully ads an option to cancel your order and scheduling and many more amazinf features,5,2025-09-20 18:35:37,
wonderful,4,2025-09-20 18:35:23,19.1.4
🍰🍰♥️🍜,5,2025-09-20 18:33:20,
"I'm deeply disappointed with Zomato's service. My food arrived 1.5 hours late.Secondly- soaked from rain, and support dismissed my complaint since it ""didn't spill."" Today, I got the wrong order and was told nothing could be done. As a long-time user, this lack of accountability is unacceptable. I’ve deleted the app and won’t be using Zomato again. I hope they seriously improve their service and customer support.",1,2025-09-20 18:26:35,
nice app,5,2025-09-20 18:24:55,19.1.6
this is very good app,5,2025-09-20 18:24:39,19.1.4
nice 👍👍👍👍🙂🙂🙂,5,2025-09-20 18:22:08,19.1.4
very worst application 😡,1,2025-09-20 18:21:34,19.1.6
I have been a regular customer of Zomato and it's an amazing experience. They offer wonderful coupons with the fastest delivery. 👏🏻👏🏻,5,2025-09-20 18:21:16,19.1.4
good service,5,2025-09-20 18:21:03,19.1.6
excellent,5,2025-09-20 18:20:30,19.1.4
the app does not deliver on my location than what is the use,1,2025-09-20 18:19:30,
great experience,5,2025-09-20 18:17:42,19.1.4
High charges money,3,2025-09-20 18:17:13,19.1.7
super,5,2025-09-20 18:15:10,
🤙🏻,5,2025-09-20 18:13:42,19.1.4
👍,5,2025-09-20 18:10:45,19.1.2
i selected item of 118 rs and need to pay 220 totaly fraud in,1,2025-09-20 18:10:15,19.1.4
excellent,5,2025-09-20 18:10:09,19.1.4
superbb,5,2025-09-20 18:08:15,19.1.4
amazing app,4,2025-09-20 18:05:58,19.1.2
It's getting worse day by day in the name of cost cutting they align 2 to 3 deliveries and foods get delayed by 30 to 50 mins average and it happens in majority of my order,1,2025-09-20 18:00:31,19.0.2
best,5,2025-09-20 17:59:45,19.1.4
v excellent,5,2025-09-20 17:58:48,
it's just awesome,5,2025-09-20 17:56:44,19.1.6
Good service,5,2025-09-20 17:55:11,19.1.4
"Nice app. but payment , billing part needs to be more understandable and simple.",5,2025-09-20 17:54:47,19.1.4
Customer support is so pathetic,1,2025-09-20 17:54:21,19.1.6
fast delivery good restaurants,5,2025-09-20 17:53:48,19.1.4
Worst app placed my order and payed in advanced but the app shows the order is delivered but havent got the order nor the customer care respond to my complain nor i get the refund yet... I will never use the app anymore,1,2025-09-20 17:47:29,
good,5,2025-09-20 17:45:48,
good,5,2025-09-20 17:42:31,19.1.4
very good,4,2025-09-20 17:42:07,
best for online food orders,5,2025-09-20 17:40:38,19.1.4
amezing,5,2025-09-20 17:38:47,19.1.4
"detected wrong address, money wasted no refund, customer service is of no useful entire amount i paid got wasted still got no food .",1,2025-09-20 17:38:46,
yesss guddd,5,2025-09-20 17:33:33,19.1.4
"very nice experience, Zomato never disappointed me🙏😊",5,2025-09-20 17:33:19,19.1.4
I don't like zomato. zomato clearly make their customers fool.,1,2025-09-20 17:33:19,
good offer,5,2025-09-20 17:32:59,19.1.4
"worst timing but get more money i see a food delivery within 2 km they take solid 20min , they say we will make delivery fast but , the person is in same position on the map. it 11pm still no traffic no issues still 20min after talking it say 10min earlier but the person is in same position scam scam change the name to scamato",1,2025-09-20 17:32:54,19.1.6
ordered cake and got the worst one what kind of partners are you taking which isnt upto standard to eat. worst experience and the zomato chat support is also not giving the resolution too. worst🤢🤢,1,2025-09-20 17:30:34,19.1.6
very good,5,2025-09-20 17:29:44,19.1.4
good delivery and best offers,5,2025-09-20 17:29:38,19.1.4
they always delay my order support is irresponsive and tell same thing all time. better install Swiggy,1,2025-09-20 17:28:12,
Excellent,5,2025-09-20 17:26:13,19.1.4
"Good Experience, best customer service ever seen. Prompt response from customer support and with their delivery partners too.",5,2025-09-20 17:26:05,19.1.4
"Their customer care has become the worst , even genuine concerns like wrong order they don't refund . Like what is this better to switch to Swiggy",1,2025-09-20 17:25:44,
so amazing,5,2025-09-20 17:25:14,19.1.2
good 😊,5,2025-09-20 17:24:51,19.1.4
JUST FABULOUS,5,2025-09-20 17:24:25,19.1.4
Best,5,2025-09-20 17:22:26,
noce,5,2025-09-20 17:22:21,19.1.6
Serves the lower prices and thats pretty good.,5,2025-09-20 17:20:46,19.1.4
good service,5,2025-09-20 17:20:28,19.1.4
good,5,2025-09-20 17:20:02,19.1.4
good,5,2025-09-20 17:19:58,19.1.4
Delivery personal was appreciative,5,2025-09-20 17:18:50,19.1.4
Awesome app for real!!.,5,2025-09-20 17:17:09,19.1.6
👍,4,2025-09-20 17:17:04,19.1.2
good,5,2025-09-20 17:16:52,19.1.4
"in my latest order, it was too delayed.. almost more than 40 mins neither resturant respond not delivery partner named sandeep. he just said cimpalint to zomato I'll not talk to resturant. etc etc. an dresturant pick call after 9 consecutive calls. and said order is not ready, yes ready deli ery partner not come. when i said he is on resturant then change statement and said will take time.. we need 20 30 mins for preparing etc etc.. and when chat with zomato then represe tative said order alread",1,2025-09-20 17:15:47,19.1.4
best delivery platform,5,2025-09-20 17:15:40,19.1.6
good job,5,2025-09-20 17:15:37,19.1.4
worst experience with this app they can't help you properly ... ad being a hosteler I ordered food and I am very badly disappointed with the quality of food and I m not being provide much money for my taste I order the food but it was totally stale but tomato didn't do anything instead of being informing to restaurant what about my money ... and exchange nothing happened,1,2025-09-20 17:14:58,19.1.4
reasonable price,5,2025-09-20 17:13:18,19.1.4
"Great app indeed, never disappoints 👍",5,2025-09-20 17:11:57,19.1.4
zomato has done wonderful job to improve app experience Bhai maine aapke Shares kharid rakhe hai budhape k liye ijjat bacha k rakhna budhape me tumhare shares bech bech k man pasand items mangvakar khaunga kisi k bharose nahi rahne ka khane pine k mamle me😂😂😂,5,2025-09-20 17:11:44,19.1.4
happy to be your partner,5,2025-09-20 17:11:03,19.1.6
overall good,4,2025-09-20 17:09:58,19.1.6
it Was Very Useful and Very Trustable.So Amazing I Am also a Golden Member❤️😍and I'm loving it,5,2025-09-20 17:09:21,
heavy discount,5,2025-09-20 17:09:09,19.1.4
good,5,2025-09-20 17:08:52,
very good 👍,5,2025-09-20 17:08:26,19.1.4
worst . never order,1,2025-09-20 17:08:09,19.1.4
Amazing taste 😋,5,2025-09-20 17:07:56,19.1.4
Excellent,5,2025-09-20 17:07:20,19.1.6
Good,5,2025-09-20 17:06:11,
best service,5,2025-09-20 17:05:55,19.1.4
bdiyan h bhai🫠,5,2025-09-20 17:05:07,19.1.6
DISGUSTING AND POOR. I ORDERED FROM ZOMATO AND AFTER 40 MINUTES NEELGIRI RESTAURANT CANCELLED THE ORDER WITHOUT INFORMING. ZOMATO CUSTOMER SUPPORT DISGUSTING. DO NOT ORDER FROM ZOMATO,1,2025-09-20 17:05:06,19.1.6
better than swiggi.,5,2025-09-20 17:04:21,19.1.4
authentic food within alloted time,5,2025-09-20 17:04:16,19.1.4
